Model,ASIN,Available in BF/CM Sheet,Link,Model Name,9/12/2022,9/13/2022,9/14/2022,9/15/2022
LP-PWRFLWX-BLK,B09PXRG3TH,,www.amazon.com/dp/B09PXRG3TH,Powerflow X Adjustable Dumbbell Set 55lbs,$10.00,$10.00,$10.00,OOS
LP-SNCPRO-RED,B09P8213FH,,www.amazon.com/dp/B09P8213FH,LifePro Sonic Pro Percussion Massage Gun - Red,$50.00,$50.00,$50.00,$50.00
LP-SNCPRO-BLK,B09P82X4YY,,www.amazon.com/dp/B09P82X4YY,LifePro Sonic Pro Percussion Massage Gun - Black,$30.00,$30.00,$30.00,$30.00
LP-ALVRDP-BLK,B09P4VPCNF,,www.amazon.com/dp/B09P4VPCNF,AllevaRed Pro Light Therapy Belt Black ,$20.00,$20.00,$20.00,$20.00
LP-SNCPRO-SLV,B09P841G21,,www.amazon.com/dp/B09P841G21,LifePro Sonic Pro Percussion Massage Gun - Silver,$50.00,$50.00,$50.00,$50.00
LP-RLXTXNB-BLK,B09XRHKHQM,Available,www.amazon.com/dp/B09XRHKHQM,Relaxatilt X Black - New,NO Coupon,5%,5%,5%
LP-VBRCP-WHT,B09P8SS946,,www.amazon.com/dp/B09P8SS946,VibraCare Plus Foot Massager - White,$50.00,$50.00,$50.00,$50.00
LP-PWRUPPRON-GRY,B09P1TJLNQ,Available,www.amazon.com/dp/B09P1TJLNQ,"PowerUp Pro Dumbbell Grey",NO Coupon,NO Coupon,NO Coupon,NO Coupon
LP-PWRUPPR-GRY,B09VM2T16S,,www.amazon.com/dp/B09VM2T16S,"PowerUp Pro Dumbbell Grey",NO Coupon,NO Coupon,NO Coupon,NO Coupon
LP-PWRFLW1B-BLK,B09DTLQKF9,,www.amazon.com/dp/B09DTLQKF9,LP-PWRFLW1B-BLK,7 days,7 days,7 days+ 10$,7 days+ 10$
LP-RVEN-BLK,B09M1268P7,Available,www.amazon.com/dp/B09M1268P7,Rove Elliptical Machine - New,NO Coupon,NO Coupon,NO Coupon,NO Coupon
LP-LGRPLS-BLK,B08VCVJLZM,Available,www.amazon.com/dp/B08VCVJLZM,Legra Plus Hand Massager Black,$15.00,$15.00,$15.00,$15.00
LP-LMCRN-SLV,B09SDLW73K,Available,www.amazon.com/dp/B09SDLW73K,LifePro Lumi Cure Red Light Therapy Device,$5.00,$5.00,$5.00,$5.00
LP-FLXSTPLS-BLU,B08HPPBPLT,Available,www.amazon.com/dp/B08HPPBPLT,FlexStride Under Desk Elliptical,$10.00,$10.00,$10.00,$10.00
LP-OCLX-BLU,B08HJYSL3Q,Available,www.amazon.com/dp/B08HJYSL3Q,Oculax Smart Eye Massager,$10.00,$10.00,$10.00,$10.00
LP-OCLX-GRY,B092DTP69D,,www.amazon.com/dp/B092DTP69D,Oculax Smart Eye Massager Gray,$10.00,$10.00,$10.00,$10.00
LP-PWRFLWPLS1-BLK,B08QVK9B49,,www.amazon.com/dp/B08QVK9B49,PowerFlow Plus 1 pc,7 days,7 days + $5.00,7 days + $5.00,7 days + $5.00
LP-SNC-BLK,B082DK1435,,www.amazon.com/dp/B082DK1435,Sonic Handheld Percussion Massage Gun Black,$20.00,$20.00,$20.00,$20.00
LP-SNC-RED,B082DK316V,,www.amazon.com/dp/B082DK316V,Sonic Handheld Percussion Massage Gun Red,$10.00,$10.00,$10.00,$10.00
LP-SNC-SLV,B082DL1ZGJ,,www.amazon.com/dp/B082DL1ZGJ,Sonic Handheld Percussion Massage Gun Silver,$20.00,$20.00,$20.00,$20.00
LP-THRVPR,B08RNKTFXY,Available,www.amazon.com/dp/B08RNKTFXY,Radiate Pro Compression Sleeve (formerly Thrive Pro),$10.00,$10.00,$10.00,$10.00
LP-WVRM-BLK,B085WB14JW,,www.amazon.com/dp/B085WB14JW,Waver Mini Vibration Plate Black,$15.00,$15.00,$15.00,$15.00
LP-WVRM-BLU,B084VTNH1S,Available,www.amazon.com/dp/B084VTNH1S,Waver Mini Vibration Plate Blue,$10.00,$10.00,$10.00,$10.00
LP-PWRFLWPLS2B-BLK,B09BK7PTGN,Available,www.amazon.com/dp/B09BK7PTGN,LifePro Adjustable Dumbbell Set,$10.00,$10.00,$10.00,$10.00
LP-HBBT-GRY,B091J86F2H,,www.amazon.com/dp/B091J86F2H,Horizon Balance Ball Trainer Gray,$20.00,$20.00,$20.00,$20.00
LP-WVRM-WHT,B089X9QFP1,,www.amazon.com/dp/B089X9QFP1,Waver Mini Vibration Plate White,$20.00,$20.00,$20.00,$20.00
LP-AGT-BLK,B07PW9BDMH,Available,www.amazon.com/dp/B07PW9BDMH,Agility 4-Speed Vibrating Massage Ball Black,$20.00,$20.00,$20.00,$20.00
LP-AXS2-BLK,B09D3Y4HBY,Available,www.amazon.com/dp/B09D3Y4HBY,Sequential Compression Device,$30.00,$30.00,$30.00,NO Coupon
LP-CRFST-BLU,B093TSQ72P,Available,www.amazon.com/dp/B093TSQ72P,CryoFrost Compression System Blue, Detail page removed, Detail page removed, Detail page removed, Detail page removed
LP-FLXCPLS-BLU,B088W7WTZN,Available,www.amazon.com/dp/B088W7WTZN,FlexCycle Exercise Bike Blue - OLD will not use ,$15.00,$15.00,$15.00,$15.00
LP-FLXCPLS-GRY,B08C4VVN9F,,www.amazon.com/dp/B08C4VVN9F,FlexCycle Exercise Bike Gray - OLD will not use ,$15.00,$15.00,$15.00,$15.00
LP-HBBT-BLU,B091JBHKSF,Available,www.amazon.com/dp/B091JBHKSF,Horizon Balance Ball Trainer Blue,7 days,7 days,7 days,7 days
LP-RYM-BLK,B07TCCYXSS,Available,www.amazon.com/dp/B07TCCYXSS,Rhythm Vibration Platform Black - OLD,7 days,OOS,$20.00,$20.00
LP-SNC-BLU,B07QTBVYJ1,Available,www.amazon.com/dp/B07QTBVYJ1,Sonic Handheld Percussion Massage Gun With Case,$20.00,$20.00,$20.00,$20.00
LP-SWRL-BLU,B093TQXQVC,Available,www.amazon.com/dp/B093TQXQVC,Swirl Yoga Wheels Blue,$20.00,$20.00,$20.00,$20.00
LP-TRB-BLK,B07P5J12YC,,www.amazon.com/dp/B07P5J12YC,Turbo 3D Vibration Plate Black,$40.00,$40.00,$40.00,$40.00
LP-VLC2-BLK,B07PVD6T8V,,www.amazon.com/dp/B07PVD6T8V,Velocity Vibrating Ball 2.0 Black,$25.00,$25.00,$25.00,$25.00
 ,B09CLM44TM,Available,www.amazon.com/dp/B09CLM44TM,Allevered Therapy Belt,$10.00,$10.00,$10.00,$10.00
